claim_year,claim_month,total_claims,total_claim_amount,total_paid_amount,avg_claim_amount,denied_claims,approved_claims,denial_rate_percent,approval_rate_percent,gold_processed_timestamp
2025,5,67,161808.52000000002,111725.45,2415.0525373134333,19,21,28.36,31.34,2026-05-27 19:18:35.000976
2025,6,400,1029281.2000000003,732940.0600000004,2573.203000000001,102,92,25.5,23.0,2026-05-27 19:18:35.000976
2025,7,412,1023390.82,771557.7199999997,2483.9583009708736,122,95,29.61,23.06,2026-05-27 19:18:35.000976
2025,8,436,1127283.4400000004,869307.5300000001,2585.512477064221,104,112,23.85,25.69,2026-05-27 19:18:35.000976
2025,9,395,1009385.0000000009,722786.2500000002,2555.4050632911417,87,104,22.03,26.33,2026-05-27 19:18:35.000976
2025,10,446,1137935.4600000002,770027.4400000001,2551.4247982062784,115,117,25.78,26.23,2026-05-27 19:18:35.000976
2025,11,399,987663.5499999996,700779.2900000002,2475.3472431077685,95,98,23.81,24.56,2026-05-27 19:18:35.000976
2025,12,421,1076930.4000000006,811984.0600000002,2558.029453681712,92,113,21.85,26.84,2026-05-27 19:18:35.000976
2026,1,435,1113223.2300000011,743059.2500000002,2559.133862068968,89,114,20.46,26.21,2026-05-27 19:18:35.000976
2026,2,389,990055.1399999998,760236.4700000003,2545.128894601542,101,88,25.96,22.62,2026-05-27 19:18:35.000976
2026,3,441,1087291.9500000004,791715.4700000001,2465.514625850341,121,97,27.44,22.0,2026-05-27 19:18:35.000976
2026,4,420,1065328.6800000002,768012.4800000007,2536.4968571428576,99,111,23.57,26.43,2026-05-27 19:18:35.000976
2026,5,339,832111.8400000001,676157.1799999998,2454.607197640118,85,86,25.07,25.37,2026-05-27 19:18:35.000976
