diagnosis_code,specialty,provider_state,denied_claims,denied_claim_amount,avg_denied_claim_amount,gold_processed_timestamp
E11.9,Cardiology,IL,15,33590.12,2239.3413333333333,2026-05-27 19:18:37.032691
N39.0,Orthopedics,FL,14,34457.48,2461.2485714285717,2026-05-27 19:18:37.032691
J06.9,Orthopedics,FL,14,31015.760000000002,2215.4114285714286,2026-05-27 19:18:37.032691
M54.5,Orthopedics,FL,11,33278.259999999995,3025.2963636363634,2026-05-27 19:18:37.032691
M54.5,Oncology,TX,11,20806.65,1891.5136363636366,2026-05-27 19:18:37.032691
M54.5,Primary Care,CA,10,27237.359999999997,2723.736,2026-05-27 19:18:37.032691
J06.9,Neurology,FL,10,20042.410000000003,2004.2410000000004,2026-05-27 19:18:37.032691
M54.5,Neurology,FL,10,28914.11,2891.411,2026-05-27 19:18:37.032691
J06.9,Radiology,GA,10,26866.56,2686.656,2026-05-27 19:18:37.032691
I10,Neurology,FL,10,39628.13,3962.8129999999996,2026-05-27 19:18:37.032691
E11.9,Oncology,GA,10,19553.72,1955.372,2026-05-27 19:18:37.032691
N39.0,Orthopedics,IL,10,35640.35,3564.035,2026-05-27 19:18:37.032691
R51,Primary Care,CA,9,19550.209999999995,2172.2455555555553,2026-05-27 19:18:37.032691
N39.0,Cardiology,IL,9,31276.270000000004,3475.1411111111115,2026-05-27 19:18:37.032691
E11.9,Neurology,FL,9,19897.59,2210.8433333333332,2026-05-27 19:18:37.032691
N39.0,Orthopedics,TX,9,25075.730000000003,2786.1922222222224,2026-05-27 19:18:37.032691
R51,Dermatology,NY,9,21456.52,2384.057777777778,2026-05-27 19:18:37.032691
E11.9,Dermatology,IL,9,14952.01,1661.3344444444444,2026-05-27 19:18:37.032691
K21.9,Radiology,GA,9,20117.82,2235.3133333333335,2026-05-27 19:18:37.032691
I10,Orthopedics,FL,9,18842.02,2093.557777777778,2026-05-27 19:18:37.032691
E11.9,Oncology,FL,9,19226.68,2136.297777777778,2026-05-27 19:18:37.032691
I10,Radiology,AZ,9,15864.249999999996,1762.6944444444441,2026-05-27 19:18:37.032691
J06.9,Dermatology,NY,8,17015.08,2126.885,2026-05-27 19:18:37.032691
M54.5,Dermatology,NY,8,19040.01,2380.00125,2026-05-27 19:18:37.032691
M54.5,Radiology,FL,8,23372.480000000003,2921.5600000000004,2026-05-27 19:18:37.032691
K21.9,Primary Care,IL,8,22673.06,2834.1325,2026-05-27 19:18:37.032691
M54.5,Cardiology,IL,8,16981.800000000003,2122.7250000000004,2026-05-27 19:18:37.032691
J06.9,Dermatology,IL,8,15848.81,1981.10125,2026-05-27 19:18:37.032691
N39.0,Primary Care,CA,8,26294.25,3286.78125,2026-05-27 19:18:37.032691
R51,Orthopedics,FL,8,13315.14,1664.3925,2026-05-27 19:18:37.032691
I10,Orthopedics,TX,8,19847.57,2480.94625,2026-05-27 19:18:37.032691
E11.9,Dermatology,NY,8,18559.89,2319.98625,2026-05-27 19:18:37.032691
N39.0,Neurology,GA,8,22263.660000000003,2782.9575000000004,2026-05-27 19:18:37.032691
I10,Dermatology,NY,8,20794.34,2599.2925,2026-05-27 19:18:37.032691
I10,Oncology,NY,8,29060.890000000003,3632.6112500000004,2026-05-27 19:18:37.032691
K21.9,Radiology,AZ,8,20291.5,2536.4375,2026-05-27 19:18:37.032691
K21.9,Cardiology,IL,8,16786.7,2098.3375,2026-05-27 19:18:37.032691
N39.0,Radiology,TX,8,17937.050000000003,2242.1312500000004,2026-05-27 19:18:37.032691
K21.9,Oncology,FL,8,11906.49,1488.31125,2026-05-27 19:18:37.032691
M54.5,Oncology,FL,7,19513.0,2787.5714285714284,2026-05-27 19:18:37.032691
J06.9,Radiology,TX,7,20559.900000000005,2937.1285714285723,2026-05-27 19:18:37.032691
I10,Neurology,GA,7,18512.690000000002,2644.6700000000005,2026-05-27 19:18:37.032691
K21.9,Dermatology,NY,7,20101.37,2871.6242857142856,2026-05-27 19:18:37.032691
K21.9,Oncology,CA,7,26968.97,3852.71,2026-05-27 19:18:37.032691
E11.9,Oncology,NY,7,13959.060000000001,1994.1514285714288,2026-05-27 19:18:37.032691
E11.9,Primary Care,CA,7,21424.91,3060.7014285714286,2026-05-27 19:18:37.032691
I10,Radiology,TX,7,23208.809999999998,3315.5442857142853,2026-05-27 19:18:37.032691
M54.5,Oncology,CA,7,20590.700000000004,2941.528571428572,2026-05-27 19:18:37.032691
E11.9,Radiology,AZ,7,17486.07,2498.0099999999998,2026-05-27 19:18:37.032691
R51,Neurology,FL,7,15702.52,2243.217142857143,2026-05-27 19:18:37.032691
R51,Radiology,GA,7,21697.340000000004,3099.6200000000003,2026-05-27 19:18:37.032691
E11.9,Orthopedics,FL,7,15219.68,2174.2400000000002,2026-05-27 19:18:37.032691
