provider_id,provider_name,specialty,state,npi,gold_processed_timestamp
PR0001,Berg-Aguilar,Radiology,GA,4106836221,2026-05-27 19:18:33.181624
PR0002,Rodriguez-Anthony,Dermatology,TX,9331122190,2026-05-27 19:18:33.181624
PR0003,"Smith, Robinson and House",Neurology,FL,3173296531,2026-05-27 19:18:33.181624
PR0004,Murillo-Bradley,Cardiology,AZ,1104528174,2026-05-27 19:18:33.181624
PR0005,"Potter, Baird and Wyatt",Dermatology,CA,281641323,2026-05-27 19:18:33.181624
PR0006,"Todd, Russell and Bryant",Orthopedics,IL,6686008015,2026-05-27 19:18:33.181624
PR0007,Hughes-Gonzalez,Oncology,CA,5169070743,2026-05-27 19:18:33.181624
PR0008,"Sheppard, Jackson and Graham",Oncology,IL,1017124478,2026-05-27 19:18:33.181624
PR0009,"Meadows, Phillips and Booker",Dermatology,IL,1463672535,2026-05-27 19:18:33.181624
PR0010,"Carlson, Thompson and Pennington",Neurology,NY,1854934175,2026-05-27 19:18:33.181624
PR0011,Wade-Hartman,Orthopedics,TX,3568578657,2026-05-27 19:18:33.181624
PR0012,Ferguson-Alvarez,Cardiology,IL,2296089964,2026-05-27 19:18:33.181624
PR0013,Frost Group,Orthopedics,NY,7456841466,2026-05-27 19:18:33.181624
PR0014,Larsen-Rivera,Dermatology,GA,3563658995,2026-05-27 19:18:33.181624
PR0015,Barnes-Dixon,Radiology,FL,9826606959,2026-05-27 19:18:33.181624
PR0016,Vincent Group,Orthopedics,FL,3674995898,2026-05-27 19:18:33.181624
PR0017,Thompson-Sullivan,Orthopedics,NY,9665167638,2026-05-27 19:18:33.181624
PR0018,Palmer-Bryant,Oncology,GA,2376515799,2026-05-27 19:18:33.181624
PR0019,Thompson-Davis,Radiology,TX,40545847,2026-05-27 19:18:33.181624
PR0020,Nguyen LLC,Radiology,TX,3368438387,2026-05-27 19:18:33.181624
PR0021,Taylor-Harper,Orthopedics,IL,8755817715,2026-05-27 19:18:33.181624
PR0022,"Alvarez, Anderson and Hernandez",Neurology,GA,1560685717,2026-05-27 19:18:33.181624
PR0023,Harris-Robbins,Primary Care,CA,6151217356,2026-05-27 19:18:33.181624
PR0024,"Adams, Summers and Graham",Oncology,AZ,1190895736,2026-05-27 19:18:33.181624
PR0025,Schultz Inc,Orthopedics,FL,5735445377,2026-05-27 19:18:33.181624
PR0026,Wade-Chan,Neurology,FL,2021858641,2026-05-27 19:18:33.181624
PR0027,Jones-Kim,Dermatology,IL,3222550858,2026-05-27 19:18:33.181624
PR0028,"Rollins, Mclaughlin and Baird",Primary Care,IL,2576081606,2026-05-27 19:18:33.181624
PR0029,Contreras-Lee,Dermatology,NY,6379221078,2026-05-27 19:18:33.181624
PR0030,Moore-Wallace,Primary Care,IL,6051521156,2026-05-27 19:18:33.181624
PR0031,"Brown, Marshall and Cox",Orthopedics,AZ,4390382286,2026-05-27 19:18:33.181624
PR0032,Burch Group,Neurology,FL,1311319778,2026-05-27 19:18:33.181624
PR0033,Lee-Smith,Primary Care,NY,2835543253,2026-05-27 19:18:33.181624
PR0034,"Gutierrez, Dunn and Holden",Primary Care,TX,3591131385,2026-05-27 19:18:33.181624
PR0035,Vargas-Roberts,Dermatology,FL,7625724506,2026-05-27 19:18:33.181624
PR0036,"Simmons, Stevens and Porter",Oncology,GA,4362220173,2026-05-27 19:18:33.181624
PR0037,Reilly-Johnson,Primary Care,NY,3853765397,2026-05-27 19:18:33.181624
PR0038,Coleman and Sons,Primary Care,GA,8519736417,2026-05-27 19:18:33.181624
PR0039,Cohen LLC,Radiology,AZ,3744106607,2026-05-27 19:18:33.181624
PR0040,"Vasquez, Waters and Vasquez",Orthopedics,GA,8763224059,2026-05-27 19:18:33.181624
PR0041,"Hebert, Weaver and Stone",Dermatology,NY,7463059338,2026-05-27 19:18:33.181624
PR0042,Wright-Watson,Neurology,FL,7215197138,2026-05-27 19:18:33.181624
PR0043,Parsons and Sons,Neurology,AZ,1657328248,2026-05-27 19:18:33.181624
PR0044,"Wilson, Johnson and Montoya",Primary Care,FL,215622814,2026-05-27 19:18:33.181624
PR0045,Preston-Ingram,Oncology,CA,813026489,2026-05-27 19:18:33.181624
PR0046,"Smith, Miller and Blevins",Neurology,GA,4276335195,2026-05-27 19:18:33.181624
PR0047,"Hill, Hill and Clarke",Orthopedics,CA,7529012308,2026-05-27 19:18:33.181624
PR0048,Drake PLC,Neurology,GA,4149090216,2026-05-27 19:18:33.181624
PR0049,Edwards Ltd,Oncology,TX,9298790771,2026-05-27 19:18:33.181624
PR0050,"Gutierrez, Spencer and Meyer",Dermatology,GA,7708538509,2026-05-27 19:18:33.181624
PR0051,"Hodges, Bennett and Stewart",Orthopedics,NY,7245784899,2026-05-27 19:18:33.181624
PR0052,Peters Group,Dermatology,NY,8939063445,2026-05-27 19:18:33.181624
PR0053,Peterson-Lewis,Neurology,NY,4693770454,2026-05-27 19:18:33.181624
PR0054,"Smith, Carlson and Stokes",Orthopedics,TX,9797739214,2026-05-27 19:18:33.181624
PR0055,Jacobson-Cervantes,Oncology,NY,2684825701,2026-05-27 19:18:33.181624
PR0056,James-Wallace,Cardiology,IL,2762972358,2026-05-27 19:18:33.181624
PR0057,Juarez and Sons,Primary Care,IL,6260222458,2026-05-27 19:18:33.181624
PR0058,"Thompson, Sweeney and Watson",Oncology,AZ,8801236272,2026-05-27 19:18:33.181624
PR0059,Clark Ltd,Oncology,FL,3847171533,2026-05-27 19:18:33.181624
PR0060,"Davis, Howard and Macias",Radiology,AZ,2714326981,2026-05-27 19:18:33.181624
PR0061,Smith Inc,Primary Care,CA,9259011133,2026-05-27 19:18:33.181624
PR0062,"Brady, Vasquez and Brown",Dermatology,NY,178823022,2026-05-27 19:18:33.181624
PR0063,"Reeves, Allen and Vincent",Orthopedics,TX,5302612493,2026-05-27 19:18:33.181624
PR0064,"Sanchez, Ayala and Jacobs",Radiology,GA,1646113918,2026-05-27 19:18:33.181624
PR0065,Spencer LLC,Orthopedics,FL,9197943668,2026-05-27 19:18:33.181624
PR0066,Parker-Miller,Cardiology,IL,8977845129,2026-05-27 19:18:33.181624
PR0067,Hood Inc,Neurology,AZ,7754800800,2026-05-27 19:18:33.181624
PR0068,Martinez-Brown,Cardiology,NY,1564152721,2026-05-27 19:18:33.181624
PR0069,Romero-Hunter,Dermatology,TX,4144662952,2026-05-27 19:18:33.181624
PR0070,"Jones, Owens and Bowers",Primary Care,TX,1986154475,2026-05-27 19:18:33.181624
PR0071,"Anderson, Holland and Parsons",Radiology,FL,831557348,2026-05-27 19:18:33.181624
PR0072,"Oneill, Shaffer and Walton",Cardiology,AZ,3817097385,2026-05-27 19:18:33.181624
PR0073,Wolf Group,Radiology,AZ,2258212151,2026-05-27 19:18:33.181624
PR0074,"Steele, Williams and Johnson",Cardiology,TX,7285596750,2026-05-27 19:18:33.181624
PR0075,Robinson LLC,Cardiology,CA,140501786,2026-05-27 19:18:33.181624
PR0076,Frey Ltd,Dermatology,IL,5954314760,2026-05-27 19:18:33.181624
PR0077,Hansen-Jackson,Radiology,TX,8007901205,2026-05-27 19:18:33.181624
PR0078,Simpson LLC,Orthopedics,FL,3954845877,2026-05-27 19:18:33.181624
PR0079,Coleman PLC,Radiology,NY,5171429164,2026-05-27 19:18:33.181624
PR0080,Schroeder LLC,Primary Care,GA,6793502461,2026-05-27 19:18:33.181624
PR0081,"Johnson, Nguyen and Parks",Dermatology,NY,3439791946,2026-05-27 19:18:33.181624
PR0082,"Robinson, Jones and Esparza",Radiology,GA,2828114945,2026-05-27 19:18:33.181624
PR0083,Tapia-Mcdowell,Radiology,CA,6241432677,2026-05-27 19:18:33.181624
PR0084,Williams LLC,Oncology,FL,7663281070,2026-05-27 19:18:33.181624
PR0085,"Rose, Sullivan and Davis",Radiology,CA,3333585817,2026-05-27 19:18:33.181624
PR0086,Jones PLC,Orthopedics,AZ,519981951,2026-05-27 19:18:33.181624
PR0087,Woodard Ltd,Neurology,TX,4941470280,2026-05-27 19:18:33.181624
PR0088,Fernandez-Ibarra,Cardiology,IL,6736613107,2026-05-27 19:18:33.181624
PR0089,"Torres, Howe and Campbell",Oncology,NY,6108642627,2026-05-27 19:18:33.181624
PR0090,Hanson-Lee,Primary Care,TX,4356356680,2026-05-27 19:18:33.181624
PR0091,Lindsey-Ashley,Oncology,FL,3692159796,2026-05-27 19:18:33.181624
PR0092,"Young, Kim and Pruitt",Dermatology,FL,8066983348,2026-05-27 19:18:33.181624
PR0093,Williams Inc,Oncology,TX,1046262306,2026-05-27 19:18:33.181624
PR0094,"Smith, Keller and Marquez",Primary Care,FL,6968210895,2026-05-27 19:18:33.181624
PR0095,Stephenson Ltd,Oncology,NY,5845522462,2026-05-27 19:18:33.181624
PR0096,Mason Inc,Radiology,GA,5773119996,2026-05-27 19:18:33.181624
PR0097,Rivas-Vargas,Neurology,FL,9551132185,2026-05-27 19:18:33.181624
PR0098,Ward Inc,Orthopedics,FL,3093163382,2026-05-27 19:18:33.181624
PR0099,"Stephenson, Powell and Greer",Primary Care,CA,4009669830,2026-05-27 19:18:33.181624
PR0100,"Thompson, Bowman and Diaz",Primary Care,GA,399194258,2026-05-27 19:18:33.181624
