provider_id,provider_name,specialty,provider_state,total_claims,total_claim_amount,total_paid_amount,avg_claim_amount,denied_claims,approved_claims,denial_rate_percent,approval_rate_percent,gold_processed_timestamp
PR0092,Gonzalez-Graves,Primary Care,FL,73,204897.66,118371.86000000004,2806.817260273973,13,17,17.81,23.29,2026-06-01 02:32:21.673563
PR0012,"Ferguson, Simpson and Swanson",Primary Care,NY,67,181862.80999999994,125289.91000000002,2714.370298507462,14,12,20.9,17.91,2026-06-01 02:32:21.673563
PR0004,Nunez-Pierce,Radiology,FL,65,170310.03999999998,105978.9,2620.1544615384614,19,11,29.23,16.92,2026-06-01 02:32:21.673563
PR0011,"Rice, Hutchinson and Greer",Radiology,AZ,57,164444.02,93979.65999999999,2884.9828070175436,10,16,17.54,28.07,2026-06-01 02:32:21.673563
PR0075,"Holland, Fowler and Zimmerman",Radiology,NY,62,163977.03999999998,122446.7,2644.790967741935,20,13,32.26,20.97,2026-06-01 02:32:21.673563
PR0077,Boyd and Sons,Orthopedics,TX,62,161444.09000000003,125485.68000000001,2603.9369354838714,18,13,29.03,20.97,2026-06-01 02:32:21.673563
PR0042,Miller-Castillo,Primary Care,CA,58,161125.26000000007,117689.92000000001,2778.0217241379323,15,12,25.86,20.69,2026-06-01 02:32:21.673563
PR0089,Molina-Martinez,Radiology,FL,57,157579.20999999996,98290.01000000001,2764.5475438596486,13,16,22.81,28.07,2026-06-01 02:32:21.673563
PR0005,Miller PLC,Primary Care,NY,58,157498.93,106633.93,2715.498793103448,19,11,32.76,18.97,2026-06-01 02:32:21.673563
PR0044,Miller Inc,Oncology,FL,60,156607.44000000003,114423.32,2610.1240000000007,12,17,20.0,28.33,2026-06-01 02:32:21.673563
PR0086,Strickland-Alvarez,Cardiology,FL,59,155633.92,122784.60999999999,2637.863050847458,14,17,23.73,28.81,2026-06-01 02:32:21.673563
PR0007,"Frye, Moore and Marks",Neurology,TX,57,153798.47999999998,102041.81999999999,2698.2189473684207,18,13,31.58,22.81,2026-06-01 02:32:21.673563
PR0029,"Ortega, Moore and Duffy",Dermatology,NY,53,153455.84,87043.31,2895.39320754717,14,13,26.42,24.53,2026-06-01 02:32:21.673563
PR0010,"Henry, Ruiz and Perez",Primary Care,IL,59,150711.01000000004,98956.54000000002,2554.4238983050855,20,14,33.9,23.73,2026-06-01 02:32:21.673563
PR0020,Smith-Schultz,Oncology,IL,54,150351.24000000002,116268.47000000003,2784.2822222222226,13,13,24.07,24.07,2026-06-01 02:32:21.673563
PR0076,Johnston Ltd,Primary Care,FL,52,147052.44,74643.07999999999,2827.9315384615384,5,16,9.62,30.77,2026-06-01 02:32:21.673563
PR0015,Strickland-Valdez,Primary Care,AZ,60,146612.16000000006,96981.6,2443.536000000001,15,18,25.0,30.0,2026-06-01 02:32:21.673563
PR0022,"Gordon, Stewart and Miller",Neurology,AZ,47,146341.41999999998,81606.71999999997,3113.647234042553,12,7,25.53,14.89,2026-06-01 02:32:21.673563
PR0070,"Campbell, Davis and Gould",Primary Care,CA,59,146330.0,70382.36,2480.169491525424,10,15,16.95,25.42,2026-06-01 02:32:21.673563
PR0068,Matthews and Sons,Neurology,TX,54,145408.24999999994,85018.07,2692.745370370369,20,15,37.04,27.78,2026-06-01 02:32:21.673563
PR0017,Hoffman Ltd,Oncology,CA,54,144776.16000000003,88952.88,2681.0400000000004,11,19,20.37,35.19,2026-06-01 02:32:21.673563
