provider_id,provider_name,specialty,state,npi
PR0001,Nichols Group,Cardiology,FL,5932246524
PR0002,"Jenkins, Wilkerson and Thomas",Orthopedics,NY,2889604145
PR0003,Flowers-Sandoval,Oncology,FL,0521498059
PR0004,Nunez-Pierce,Radiology,FL,8824906256
PR0005,Miller PLC,Primary Care,NY,3761147484
PR0006,Young-Wright,Neurology,FL,1000041046
PR0007,"Frye, Moore and Marks",Neurology,TX,1365906247
PR0008,"Johnson, Rivera and Palmer",Dermatology,GA,6440308792
PR0009,Warren-Cook,Orthopedics,GA,5008912769
PR0010,"Henry, Ruiz and Perez",Primary Care,IL,9315049277
PR0011,"Rice, Hutchinson and Greer",Radiology,AZ,3029034443
PR0012,"Ferguson, Simpson and Swanson",Primary Care,NY,9592206949
PR0013,Anderson LLC,Oncology,TX,6822308211
PR0014,Diaz-Duncan,Dermatology,TX,2387541848
PR0015,Strickland-Valdez,Primary Care,AZ,0757584074
PR0016,Potts Inc,Dermatology,TX,2603785267
PR0017,Hoffman Ltd,Oncology,CA,9713449353
PR0018,Glover Inc,Neurology,CA,2725245603
PR0019,Robertson Ltd,Oncology,NY,2934321368
PR0020,Smith-Schultz,Oncology,IL,6966513760
PR0021,Nguyen LLC,Oncology,NY,6635119680
PR0022,"Gordon, Stewart and Miller",Neurology,AZ,3598039622
PR0023,"Moore, Roberson and Boyer",Radiology,GA,9785219002
PR0024,"Garrison, Francis and Fitzgerald",Cardiology,FL,4520124202
PR0025,Rodriguez and Sons,Neurology,FL,9792953377
PR0026,"Stewart, Moore and Parker",Orthopedics,IL,6289464045
PR0027,Mcclure Inc,Neurology,FL,7207387557
PR0028,Olsen Inc,Radiology,GA,2910691565
PR0029,"Ortega, Moore and Duffy",Dermatology,NY,0028280352
PR0030,Abbott PLC,Radiology,FL,5535268870
PR0031,Adams Group,Cardiology,CA,0264517862
PR0032,"Copeland, Peterson and Rich",Primary Care,AZ,5062758447
PR0033,Taylor-Morgan,Neurology,IL,6174427361
PR0034,"Yang, Liu and Luna",Neurology,AZ,0486119543
PR0035,Johnson and Sons,Radiology,AZ,6509821903
